R_Title,Years_long,Years,Organization,Where,Institution,What,Role,Included,Invited,Type,Lat,Long,Info
Competitive job accessibility considering WFH and on-site commutes ,,Jun. 2025,NECTAR Workshop - Digital and physical accessibility,"Lisbon, PL",University of Lisbon,Presentation,Presenter and lead author,1,,Presentation-access,38.736946,-9.142685,
A family of accessibility measures derived from spatial interaction principles,,Jun. 2025,UCL Seminar,"London, UK",UCL,Seminar,Presenter and lead author,1,,Presentation-access,51.507351,-0.12766,
 Comparing urban public transit accessibility across Canadian regions and times,,May. 2025,Canadian Transportation Research Forum (CTRF),"Ottawa, ON, Canada",,Presentation,Presenter and lead author,1,,Presentation-access,45.42153,-75.697193,
Creating analysis-ready open data products for open city and transportation planning,Mar. 24-28 2025,Mar.  2025,Association of the American Geographers (AAG) Conference,"Detroit, MI, USA",,Presentation,Presenter and co-author,1,,Presentation-openmethods,42.331429,-83.045753,
Connecting accessibility measures to outcomes and policy goals using balancing factors,Mar. 24-28 2025,Mar.  2025,Association of the American Geographers (AAG) Conference,"Detroit, MI, USA",,Presentation,Presenter and lead author,1,,Presentation-access,42.331429,-83.045753,
A family of accessibility measures,Jan. 5-9 2025,Jan. 2025,Transportation Research Board (TRB) Annual Conference,"Washington, DC, USA",Washington Convention Center,Workshop,Presenter and lead author,1,,Workshop,38.89511,-77.03637,
Accessibility vs. Walkability: Exploring 'Complete' Access to Care Destinations,Jan. 5-9 2025,Jan. 2025,Transportation Research Board (TRB) Annual Conference,"Washington, DC, USA",Washington Convention Center,Presentation,Co-author,,,Presentation-access,38.89511,-77.03637,
"The purpose of transportation? Considering equity in transportation systems, lessons from the literature and some practice","Dec 17, 2024",Dec. 2024,ITE Hamilton Section Chapter - Annual General Meeting,"Hamilton, Canada",Waterfront Banquet & Conference Center,Presentation,Presenter and lead author,1,1,Presentation-practice,43.255203,-79.843826,
"Flipped classrooms, open educational resources, and ungrading: The learning experience of students in their own words","Dec 7-8, 2024",Dec. 2024,Innovations in Education Conference,"Hamilton, Canada",McMaster Innovation Park,Presentation,Co-author,,,Presentation-openmethods,43.255203,-79.843826,
Equity in Transportation Safety,"Nov 27, 2024",Nov. 2024,True North Safety (TNS) Group - Lunch and Learn,"Toronto, Canada (Virtual)",,Presentation,Presenter and lead author,1,1,Presentation-practice,43.65107,-79.347015,
Towards caring 15-minute neighbourhoods ,"Sept. 9 -11, 2024",Sept. 2024,TRB International Conference on Women and Gender in Transportation,"Irvine, Califronia",Beckman Center,Presentation,Presenter and lead author,1,,Presentation-access,33.6846,-117.8265,https://trb.secure-platform.com/a/solicitations/166/sessiongallery/2275
"Using X-sheds to connect accessibility measures, outcomes and policy goals","July 3-5, 2024",Jul. 2024,Network of European Communications and Transport Activites Research (NECTAR) Conference,"Brussels, Belgium",Vrije Universiteit Brussel,Presentation,Presenter and lead author,1,,Presentation-access,50.85045,4.34878,
Who benefits from the restriction of car mobility? Multimodal accessibility inequalities of low emission zone scenarios,"June 26-28, 2024",Jun. 2024,International Proximaty Planning Congress ,"Madrid, Spain",Escuela Tecnica Superior de Arquitectura de Madrid,Presentation,Presenter and lead author,1,,Presentation-access,40.416775,-3.70379,
Using accessibility measures: with and without constraints and competition,June. 2024,Jun. 2024,City of  Toronto - Transportation Planning Department,"Toronto, Canada",City of Toronto,Workshop,Instructor and lead author,1,,Workshop,43.65107,-79.347015,
Using accessibility measures: with and without constraints and competition,"April 16-20, 2024",Apr. 2024,Association of the American Geographers (AAG) Conference,"Honolulu, Hawaii",Hawaii Convention Center,Workshop,Instructor and lead author,1,,Workshop,21.306944,-157.858337,
Who benefits from the restriction of car mobility? Multimodal accessibility inequalities of low emission zone scenarios,"April 16-20, 2024",Apr. 2024,Association of the American Geographers (AAG) Conference,"Honolulu, Hawaii",Hawaii Convention Center,Presentation,Presenter and lead author,,,Presentation-access,21.306944,-157.858337,
Multimodal spatial availability: a singly-constrained measure of accessibility considering multiple modes,"Jan. 7-11, 2024",Jan. 2024,Transportation Research Board (TRB) Annual Conference,"Washington, DC, USA",Washington Convention Center,Presentation,Presenter and lead author,1,,Presentation-access,38.89511,-77.03637,
Toward gender-mainstreaming transport planning: measuring access to care,"Jan. 7-11, 2024",Jan. 2024,Transportation Research Board (TRB) Annual Conference,"Washington, DC, USA",Washington Convention Center,Presentation,Co-author,,,Presentation-access,38.89511,-77.03637,
Using open educational and reproducible resources to teach spatial statistics: reflections on a student-instructor experience,"Dec 7-8, 2023",Dec. 2023,Innovations in Education Conference,"Hamilton, Canada",McMaster Innovation Park,Presentation,Presenter and lead author,1,,Presentation-openmethods,43.255203,-79.843826,
The implications of school closure policies on walkable singly-constrained accessibility and carbon emissions,"July 17-23, 2023",Jul. 2023,World Congress on Transport Research (WCTR) Conference,"Montreal, Canada",Palais de Congress,Presentation,Presenter and lead author,1,,Presentation-access,45.50169,-73.567253,
Multimodal spatial availability: a research proposal,"June 14-16, 2023",Jun. 2023,XV Congreso de Ingenieria de Transporte (CIT),"Tenerife, Spain",University of Laguna,Presentation,Presenter and lead author,1,,Presentation-access,28.291563,-16.62913,
The equity implications of changes in accessibility due to Low Emission Zones: the case of Madrid,"June 21-22, 2023",Jun. 2023,NECTAR Workshop - Sustainable Neighbourhoods: Urban and transport planning for sustainable urban living workshop,"Coimbra, Portugal",University of Coimbra,Presentation,Presenter and lead author,1,,Presentation-access,40.203314,-8.410256,
Using computational notebooks to teach spatial statistics: the McMaster experience,April 21 2023,Apr. 2023,11th Seminar of Spatial Econometric Jean Paelinck ,"Cartagena, Spain",Technical University of Cartagena,Presentation,Presenter and lead author,1,,Presentation-openmethods,37.625679,-0.986581,
"Equity and justice conceptualizations, dimensions and standards for urban transportation planning: a scoping review","March 23-27, 2023",Mar. 2023,Association of the American Geographers (AAG) Conference,"Denver, USA",Hyatt and Sheraton Hotel,Presentation,Presenter and lead author,1,,Presentation-access,39.739236,-104.990251,
Planning equitable and sustainable access-to-opportunity landscapes,"Dec. 6, 2022 \& Mar. 3, 2023",Dec. 2022 \& Mar. 2023,Science Graduate Research Symposium and at the ITE McMaster Student Chapter,"Hamilton, Canada",McMaster University,Lightning presentation,Presenter,1,1,Presentation-access,43.255203,-79.843826,
Planning equitable and sustainable access-to-opportunity landscapes,"Dec. 6, 2022",Dec. 2022,Science Graduate Research Symposium ,"Hamilton, Canada",McMaster University,Lightning presentation,Presenter,,,Presentation-access,43.255203,-79.843826,
A renewed argument for walkable school accessibility,"Nov. 9-12, 2022",Nov.  2022,North American Regional Science Council (NARSC) Conference,"Montreal, Canada",Doubletree Hotel,Presentation,Presenter and lead author,,,Presentation-access,45.50169,-73.567253,
Post-pandemic school planning: a renewed argument for walkable school accessibility,"Oct. 5-7, 2022",Oct. 2022,Network of European Communications and Transport Activites Research (NECTAR) - Cluster 4 and 6 Workshop,"Seville, Spain",European Commission (EC) Joint Research Centre (JRC) Sevilla,Presentation,Presenter and lead author,1,1,Presentation-access,37.389092,-5.984459,
Spatial availability: a singly-constrained accessibility measure,"Sept. 21, 2022",Sept. 2022,Mobilizing Justice Annual Symposium,"Toronto, Canada (Virtual)",Virtual - University of Toronto,Presentation,Presenter and lead author,,,Presentation-access,43.65107,-79.347015,
"Equity and justice conceptualizations, dimensions and standards for urban transportation planning","Sept. 21, 2022",Sept. 2022,Mobilizing Justice Annual Symposium,"Toronto, Canada (Virtual)",Virtual - University of Toronto,Presentation,Presenter and lead author,1,,Presentation-access,43.65107,-79.347015,
"Introducing spatial availability, a singly constrained competitive-access accessibility measure","July 20-22, 2022",Jul. 2022,Network of European Communications and Transport Activites Research (NECTAR) Conference,"Toronto, Canada",University of Toronto,Presentation,Presenter and lead author,1,,Presentation-access,43.65107,-79.347015,
Optimizing Provincial Passenger Road Transportation Emission Policies in Canada,"Nov. 10, 2021",Nov. 2021,Decarbonizing the Transport Sector through Innovative Technologies (Advance of COP26) Workshop,"Yorkshire, UK (Virtual)",Virtual -  World Conference on Transport Research Society (WCTRS) Workshop at the University of Leeds,Presentation,Presenter and lead author,1,1,Presentation-policy,53.800755,-1.549077,
Using QGIS: An Introduction to Transportation and Spatial Data and Synchro Software Tutorials,"Oct 6, 2021 \& Nov. 18, 2020",Oct. 2021 \& Nov.  2020,ITE McMaster Student Chapter,"Hamilton, Canada (Virtual)",Virtual - McMaster University,Workshop,Instructor and creator,1,,Workshop,43.255203,-79.843826,
Optimizing Provincial Passenger Road Transportation Emission Policies in Canada,"May 16-19, 2021",May. 2021,Canadian Transportation Research Forum (CTRF) Annual Conference ,"Fredericton, New Brunswick (Virtual)",Virtual,Presentation,Presenter and lead author,,,Presentation-policy,45.963593,-66.643115,
Optimizing Provincial Passenger Road Transportation Emission Policies in Canada,"May 5, 2021",May. 2021,ITE Hamilton Section Quarterly Meeting,"Hamilton, Canada (Virtual)",Virtual,Presentation,Presenter and lead author,,1,Presentation-policy,43.255203,-79.843826,
The Impact of COVID-19 and The Stay-At-Home Order on Accident Duration and Accident Delay Severity in California,"May 16-19, 2021",May. 2021,Canadian Transportation Research Forum (CTRF) Annual Conference,"Fredericton, Canada (Virtual)",Virtual,Presentation,Presenter and co-author,1,,Presentation-policy,45.963593,-66.643115,
Electric Vehicles and the Carbon Tax: the Feasibility of Canadian GHG Mitigation Policies,"May 26-29, 2019",May. 2019,Canadian Transportation Research Forum (CTRF) Annual Conference,"Vancouver, Canada",Pinnacle Harbourfront Hotel,Presentation,Presenter and lead author,1,,Presentation-policy,49.282729,-123.120738,
The Case for Free Transit in Hamilton: Transportation and Social Inequalities,Apr. 2018,Apr. 2018,MacChangers Community Showcase,"Hamilton, Canada",McMaster University and CityLAB ,Presentation,Presenter and co-author,1,,Presentation-policy,43.255203,-79.843826,
Hamilton 2031: Anticipated Impacts of the LRT,Apr. 2018,Apr. 2018,MacChangers Community Showcase,"Hamilton, Canada",McMaster University and CityLAB ,Presentation,Presenter and co-author,,,Presentation-policy,43.255203,-79.843826,
